state,paid_fmlv,paid_sicklv,note
Alabama,0,0,
Alaska,0,0,
Arizona,0,1,
Arkansas,0,0,
California,1,1,
Colorado,0,1,
Connecticut,1,1,
Delaware,0,0,
District of Columbia,1,1,
Florida,0,0,
Georgia,0,0,
Hawaii,0,0,
Idaho,0,0,
Illinois,0,0,
Indiana,0,0,
Iowa,0,0,
Kansas,0,0,
Kentucky,0,0,
Louisiana,0,0,
Maine,0,1,sick leave law effective 2021
Maryland,0,1,
Massachusetts,1,1,
Michigan,0,1,
Minnesota,0,0,
Mississippi,0,0,
Missouri,0,0,
Montana,0,0,
Nebraska,0,0,
Nevada,0,1,
New Hampshire,0,0,
New Jersey,1,1,
New Mexico,0,0,
New York,1,1,
North Carolina,0,0,
North Dakota,0,0,
Ohio,0,0,
Oklahoma,0,0,
Oregon,1,1,
Pennsylvania,0,0,
Rhode Island,1,1,
South Carolina,0,0,
South Dakota,0,0,
Tennessee,0,0,
Texas,0,0,
Utah,0,0,
Vermont,0,1,
Virginia,0,0,
Washington,1,1,
West Virginia,0,0,
Wisconsin,0,0,
Wyoming,0,0,
